oid,gender,class,Q1,Q2,Q3,Q4,Q5
1,Female,Freshman,4,2,4,4,2
2,Female,Freshman,5,5,5,5,4
3,Female,Sophomore,5,4,5,5,5
4,Male,Junior,5,3,4,5,2
5,Male,Freshman,2,2,5,5,2
6,Female,Sophomore,2,4,4,2,4
7,Male,Junior,4,4,4,4,4
8,Male,Freshman,4,5,4,4,5
9,Male,Junior,4,4,4,4,5
10,Male,Junior,3,5,3,4,4
11,Female,Freshman,4,2,3,4,4
12,Female,Junior,NA,4,NA,4,4
13,Male,Sophomore,4,4,5,5,1
14,Male,Junior,NA,NA,NA,NA,NA
15,Female,Freshman,3,3,4,4,3
16,Female,Junior,4,4,3,3,2
17,Male,Junior,5,4,5,5,2
18,Male,Senior,4,2,3,4,2
19,Male,Freshman,5,3,3,5,3
20,Male,Freshman,4,4,4,4,4
21,Female,Junior,4,4,4,4,2
22,Male,Junior,4,3,4,4,4
23,Male,Junior,4,4,4,4,4
24,Female,Sophomore,4,4,4,4,2
25,Male,Sophomore,3,2,3,4,2
26,Male,Junior,5,4,5,5,3
27,Female,Sophomore,4,4,2,4,2
28,Male,Freshman,5,4,4,4,2
29,Male,Junior,2,2,5,4,1
30,Female,Sophomore,4,2,1,4,1
31,Male,Junior,4,4,3,4,4
32,Female,Senior,3,2,3,4,1
33,Female,Junior,4,4,4,5,2
34,Male,Senior,NA,NA,NA,NA,NA
35,Male,Senior,4,4,4,4,4
36,Female,Junior,5,4,5,4,4
37,Male,Freshman,5,5,5,5,5
38,Female,Junior,3,4,3,2,5
39,Male,Junior,5,4,5,2,5
40,Female,Junior,4,2,2,4,2
41,Female,Freshman,3,4,4,5,4
42,Male,Sophomore,3,3,3,5,1
43,Male,Sophomore,2,5,1,5,1
44,Male,Freshman,4,4,3,5,3
45,Male,Junior,4,4,4,5,3
46,Female,Junior,4,3,4,5,2
47,Female,Freshman,4,4,4,5,2
48,Female,Freshman,4,4,4,5,2
49,Male,Sophomore,3,5,4,5,5
50,Male,Freshman,3,2,4,5,3
51,Male,Freshman,4,2,3,4,5
52,Female,Senior,2,4,1,3,4
53,Male,Sophomore,5,2,1,4,1
54,Female,Junior,3,4,4,4,4
55,Male,Senior,3,4,4,4,4
56,Female,Junior,5,5,4,4,4
57,Female,Junior,4,3,4,4,2
58,Male,Freshman,4,4,2,4,4
59,Male,Sophomore,4,3,4,4,2
60,Male,Freshman,5,4,4,4,3
61,Female,Freshman,4,4,5,4,4
62,Male,Junior,3,3,4,4,2
63,Female,Freshman,5,3,4,5,1
64,Male,Sophomore,4,3,4,4,3
65,Female,Sophomore,4,3,4,5,3
66,Male,Freshman,4,4,4,4,NA
67,Female,Sophomore,5,4,5,4,2
68,Male,Junior,4,4,4,4,4
69,Female,Sophomore,3,2,4,4,2
